Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.635,0.52,large,1.2919999999999998,0.6,0.26899999999999996,0.36700000000000005,11
M,0.58,0.45,medium,0.8275,0.321,0.1975,0.2445,8
I,0.44,0.35,small,,0.1815,0.083,0.125,12
M,0.645,0.5,large,1.401,0.6165,0.3515,0.3725,10
I,0.2,0.145,tiny,0.0345,0.011000000000000001,0.0075,0.01,5
F,0.745,0.57,large,2.25,1.1565,0.446,0.5579999999999999,9
F,0.75,0.61,large,2.5085,1.232,0.519,0.612,14
M,0.59,0.475,medium,1.077,0.4545,0.244,0.3095,9
M,0.645,0.515,large,1.5415,0.47100000000000003,0.369,0.535,13
I,0.225,0.17,tiny,0.0565,0.024,0.013000000000000001,0.016,4
M,0.4,0.32,tiny,0.303,0.1335,0.06,0.1,7
F,0.63,0.515,medium,,0.5529999999999999,0.3205,0.35,11
F,0.49,0.375,small,0.6125,0.2555,0.102,0.22,11
F,0.655,0.5,large,1.528,0.6215,0.3725,0.4535,11
I,0.44,0.35,tiny,,0.1575,0.0895,0.115,6
F,0.53,0.425,large,0.9490000000000001,0.3485,0.2395,0.278,17
F,0.465,0.35,small,0.6265,0.259,0.1445,0.175,8
I,0.33,0.265,tiny,0.18,0.068,0.036000000000000004,0.06,6
M,0.455,0.35,small,,0.1815,0.14400000000000002,0.16,11
M,0.52,0.425,small,0.79,0.37200000000000005,0.205,0.19,8
I,0.425,0.325,tiny,0.3335,0.17300000000000001,0.045,0.1,7
I,0.54,0.39,small,0.6255,0.2525,0.158,0.19,8
I,0.46,0.355,tiny,0.4255,0.2015,0.081,0.13,7
M,0.515,0.455,small,0.7225,0.295,0.1625,0.235,9
I,0.47,0.375,small,0.5225,0.2265,0.10400000000000001,0.162,8
M,0.675,0.525,large,1.587,0.6935,0.336,0.395,13
F,0.65,0.5,large,1.464,0.6415,0.33899999999999997,0.4245,9
I,0.325,0.25,tiny,0.1585,0.075,0.0305,0.0455,6
F,0.655,0.515,large,,0.7255,0.309,0.405,12
I,0.365,0.265,tiny,0.213,0.0945,0.049,0.06,7
M,0.575,0.445,medium,0.8390000000000001,0.4005,0.198,0.239,9
F,0.585,0.45,medium,1.077,0.4995,0.2875,0.25,10
M,0.605,0.455,medium,,0.5329999999999999,0.273,0.271,10
I,0.44,0.34,tiny,0.369,0.16399999999999998,0.08,0.1015,5
F,0.5,0.37,small,0.45,0.1715,0.1055,0.155,9
M,0.72,0.58,large,,0.9955,0.478,0.5305,13
M,0.52,0.4,tiny,0.872,0.4515,0.1615,0.1985,9
M,0.63,0.505,medium,1.3165,0.6325,0.2465,0.37,11
I,0.35,0.27,tiny,,0.1,0.036000000000000004,0.065,6
M,0.565,0.45,medium,1.0595,0.4735,0.24,0.265,10
M,0.62,0.48,medium,1.0725,0.4815,0.235,0.312,9
I,0.45,0.335,tiny,0.3935,0.195,0.071,0.11,7
F,0.63,0.48,medium,1.2615,0.5505,0.27699999999999997,0.3885,10
M,0.685,0.545,large,1.7925,0.8145,0.41600000000000004,0.461,9
M,0.61,0.47,medium,1.1625,0.565,0.258,0.3085,11
I,0.325,0.245,tiny,0.161,0.0755,0.0255,0.045,6
F,0.61,0.495,large,1.1085,0.3705,0.3135,0.33,12
F,0.585,0.46,medium,1.058,0.486,0.25,0.294,9
M,0.59,0.45,medium,0.998,0.445,0.214,0.301,9
M,0.535,0.415,small,0.78,0.3165,0.16899999999999998,0.2365,8
M,0.63,0.53,large,1.2795,0.618,0.256,0.315,9
I,0.23,0.17,tiny,0.057,0.026000000000000002,0.013000000000000001,0.016,5
M,0.62,0.495,large,1.806,0.643,0.3285,0.725,17
M,0.625,0.495,medium,1.0485,0.48700000000000004,0.212,0.3215,11
M,0.625,0.5,large,,0.4615,0.258,0.305,10
F,0.65,0.505,medium,,0.5725,0.281,0.43,11
F,0.465,0.35,small,0.494,0.1945,0.10300000000000001,0.155,18
M,0.45,0.335,small,0.4475,0.2165,0.126,0.11,6
F,0.57,0.45,small,0.7805,0.3345,0.185,0.21,8
F,0.65,0.545,large,1.5245,0.59,0.326,0.495,10
M,0.56,0.44,medium,1.1115,0.5035,0.2785,0.26,10
I,0.355,0.28,tiny,0.2275,0.0935,0.0455,0.085,11
F,0.545,0.41,small,0.7405,0.3565,0.1775,0.203,9
I,0.46,0.36,tiny,0.4635,0.2325,0.09300000000000001,0.115,7
I,0.505,0.4,medium,0.7045,0.33399999999999996,0.1425,0.207,8
M,0.65,0.485,small,1.175,0.475,0.2435,0.215,8
I,0.39,0.28,tiny,0.215,0.0845,0.034,0.079,8
F,0.505,0.39,tiny,0.66,0.3045,0.1555,0.175,8
M,0.59,0.435,medium,0.9765,0.4525,0.2395,0.235,9
I,0.4,0.29,tiny,0.32899999999999996,0.188,0.0455,0.0825,6
F,0.6,0.45,medium,0.9625,0.4375,0.2225,0.2775,9
M,0.55,0.42,medium,,0.6325,0.311,0.344,10
I,0.28,0.2,tiny,0.0895,0.036000000000000004,0.0185,0.03,7
F,0.64,0.5,large,1.3940000000000001,0.4935,0.29100000000000004,0.4,10
M,0.47,0.37,large,0.51,0.1915,0.1285,0.1625,9
F,0.485,0.375,small,0.556,0.1925,0.1315,0.1685,10
F,0.625,0.42,medium,1.0595,0.358,0.165,0.445,21
I,0.29,0.21,tiny,0.09699999999999999,0.0375,0.022000000000000002,0.03,6
M,0.49,0.355,medium,0.981,0.465,0.2015,0.2505,8
I,0.44,0.345,small,0.4495,0.209,0.0835,0.134,6
F,0.66,0.525,large,1.67,0.6525,0.4875,0.49,11
M,0.47,0.375,small,0.5565,0.226,0.122,0.195,12
F,0.565,0.45,large,,0.406,0.2505,0.285,15
M,0.3,0.24,tiny,0.161,0.0725,0.039,0.05,6
I,0.34,0.26,tiny,,0.0815,0.0335,0.06,6
M,0.685,0.51,large,1.4545,0.6315,0.3105,0.3725,9
M,0.33,0.215,tiny,,0.045,0.0265,0.035,6
F,0.545,0.445,large,0.8525,0.3465,0.18899999999999997,0.295,13
I,0.39,0.29,tiny,0.2625,0.11699999999999999,0.054000000000000006,0.077,7
I,0.605,0.495,medium,1.054,0.369,0.2255,0.36,12
F,0.56,0.44,medium,0.6405,0.336,0.1765,0.245,8
I,0.395,0.3,small,0.2995,0.1265,0.068,0.0895,8
I,0.39,0.3,tiny,0.3265,0.1665,0.0575,0.08900000000000001,7
I,0.295,0.21,tiny,0.1,0.038,0.026000000000000002,0.031,8
M,0.695,0.55,large,1.9565,0.7125,0.541,0.59,14
F,0.535,0.425,small,0.7709999999999999,0.3765,0.1815,0.1795,8
I,0.425,0.325,tiny,0.3685,0.162,0.0865,0.1045,7
M,0.525,0.435,medium,1.065,0.486,0.233,0.285,8
F,0.53,0.42,small,0.627,0.2905,0.1165,0.183,8
M,0.63,0.49,large,1.13,0.45799999999999996,0.2765,0.315,12
M,0.34,0.265,tiny,,0.077,0.046,0.065,10
F,0.505,0.4,medium,0.7290000000000001,0.2675,0.155,0.25,9
I,0.565,0.46,medium,,0.3755,0.215,0.25,10
F,0.64,0.515,medium,1.3115,0.4945,0.2555,0.41,10
F,0.615,0.475,medium,1.0270000000000001,0.447,0.25,0.285,9
F,0.65,0.515,large,,0.5195,0.36,0.44,13
F,0.49,0.375,medium,0.5755,0.22,0.14400000000000002,0.19,9
I,0.44,0.31,tiny,0.3625,0.134,0.08199999999999999,0.12,11
F,0.55,0.44,medium,0.8945,0.3145,0.151,0.32,19
M,0.7,0.545,large,1.9125,0.8825,0.4385,0.506,10
I,0.175,0.125,tiny,0.0235,0.008,0.0035,0.008,5
M,0.56,0.45,small,0.9,0.47200000000000003,0.182,0.218,7
M,0.59,0.46,small,1.004,0.496,0.2165,0.26,9
F,0.6,0.46,medium,0.9325,0.3985,0.2245,0.248,8
F,0.525,0.405,medium,0.6579999999999999,0.2655,0.1125,0.225,12
F,0.615,0.475,medium,1.023,0.4905,0.1955,0.3035,12
I,0.45,0.34,tiny,,0.21,0.0925,0.12,8
F,0.65,0.51,large,1.35,0.575,0.3155,0.3885,10
I,0.495,0.4,medium,0.578,0.2545,0.1305,0.1645,8
I,0.545,0.43,medium,0.7285,0.302,0.1315,0.2545,10
M,0.64,0.495,medium,1.307,0.6779999999999999,0.292,0.266,11
F,0.405,0.305,tiny,,0.1455,0.0895,0.1,9
I,0.28,0.21,tiny,0.1075,0.0415,0.024,0.034,5
M,0.445,0.34,small,0.4475,0.193,0.1035,0.13,9
I,0.35,0.265,tiny,0.2,0.09,0.042,0.06,7
I,0.34,0.255,tiny,0.18,0.0745,0.04,0.0525,6
M,0.535,0.405,small,0.7315,0.336,0.156,0.19,7
M,0.61,0.45,large,1.0805,0.517,0.2495,0.2935,10
I,0.47,0.375,tiny,0.441,0.16699999999999998,0.0865,0.145,10
I,0.255,0.18,tiny,0.083,0.031,0.0215,0.02,4
M,0.665,0.515,large,1.6385,0.831,0.3575,0.371,11
I,0.495,0.375,tiny,0.5755,0.31,0.1145,0.1395,8
F,0.53,0.455,medium,0.9805,0.3155,0.2815,0.2965,11
F,0.555,0.43,small,0.812,0.4055,0.163,0.2215,9
M,0.685,0.52,medium,1.3735,0.7185,0.293,0.32,11
M,0.6,0.47,medium,0.9279999999999999,0.4225,0.183,0.275,8
M,0.74,0.58,large,,0.8155,0.4695,0.488,12
M,0.665,0.525,medium,1.3575,0.5325,0.3045,0.4485,10
F,0.535,0.4,medium,1.224,0.618,0.275,0.2875,10
F,0.45,0.36,small,0.5065,0.222,0.105,0.16,10
I,0.61,0.465,medium,0.9605,0.4495,0.1725,0.28600000000000003,9
I,0.47,0.37,small,,0.1845,0.1055,0.155,12
M,0.55,0.45,small,0.92,0.37799999999999995,0.2385,0.29,11
M,0.695,0.55,large,1.6645,0.727,0.36,0.445,11
F,0.58,0.44,small,0.7855,0.363,0.1955,0.195,11
M,0.45,0.335,small,0.478,0.1865,0.115,0.16,11
M,0.6,0.48,tiny,1.05,0.457,0.2685,0.28,8
I,0.28,0.205,tiny,0.1135,0.045,0.0275,0.0335,7
I,0.465,0.345,tiny,0.4015,0.242,0.0345,0.109,6
I,0.315,0.23,tiny,0.16399999999999998,0.0625,0.04,0.045,6
I,0.4,0.3,tiny,0.2815,0.1185,0.061,0.08,7
F,0.62,0.495,large,,0.37200000000000005,0.213,0.34,11
I,0.37,0.29,tiny,0.25,0.1025,0.0505,0.085,10
M,0.62,0.46,medium,0.9505,0.4915,0.2,0.228,9
M,0.495,0.38,small,0.6295,0.263,0.1425,0.215,12
M,0.35,0.265,tiny,0.2265,0.0995,0.0575,0.065,6
F,0.34,0.255,tiny,0.204,0.09699999999999999,0.021,0.05,6
I,0.435,0.325,small,0.34600000000000003,0.159,0.084,0.095,7
M,0.31,0.235,tiny,0.12,0.0415,0.033,0.04,11
I,0.385,0.285,tiny,0.248,0.0935,0.066,0.07,6
M,0.585,0.405,medium,1.2565,0.435,0.20199999999999999,0.325,15
I,0.455,0.355,tiny,,0.2165,0.0995,0.125,9
F,0.58,0.45,large,0.9955,0.3945,0.272,0.285,11
M,0.61,0.475,medium,,0.62,0.237,0.245,9
I,0.15,0.1,tiny,0.015,0.0045,0.004,0.005,2
F,0.49,0.37,small,0.585,0.243,0.115,0.195,10
M,0.57,0.435,small,0.8965,0.38299999999999995,0.1835,0.275,9
F,0.64,0.51,large,1.3905,0.61,0.3315,0.41,12
M,0.57,0.46,small,0.9535,0.4465,0.2065,0.245,12
I,0.61,0.48,medium,1.097,0.4215,0.264,0.335,13
M,0.57,0.45,small,,0.47700000000000004,0.1605,0.2515,8
M,0.53,0.405,small,0.738,0.2845,0.17,0.193,9
F,0.655,0.515,large,,0.8485,0.2635,0.331,11
I,0.495,0.375,small,0.494,0.18100000000000002,0.0975,0.191,8
F,0.545,0.385,medium,1.1185,0.5425,0.2445,0.2845,9
M,0.585,0.455,large,1.055,0.3815,0.221,0.365,15
I,0.57,0.42,small,0.7745,0.3535,0.1505,0.2365,9
F,0.565,0.44,medium,0.863,0.435,0.149,0.27,9
I,0.43,0.34,small,0.3575,0.151,0.0645,0.1045,9
F,0.67,0.515,large,1.4265,0.6605,0.3395,0.37,11
M,0.475,0.365,small,0.6175,0.20199999999999999,0.1445,0.19,16
M,0.625,0.505,large,1.131,0.5425,0.2265,0.32299999999999995,8
I,0.61,0.49,medium,1.1545,0.5865,0.2385,0.2915,11
F,0.61,0.485,large,,0.5125,0.22899999999999998,0.305,11
I,0.425,0.31,tiny,0.365,0.159,0.0825,0.105,6
I,0.525,0.4,small,0.6955,0.2405,0.16,0.253,10
I,0.555,0.43,small,0.7665,0.341,0.165,0.23,9
F,0.345,0.26,tiny,0.207,0.0775,0.0435,0.0765,10
F,0.55,0.415,large,1.1655,0.502,0.301,0.311,9
I,0.37,0.29,tiny,,0.08900000000000001,0.0655,0.075,7
M,0.575,0.48,medium,0.9465,0.4355,0.2605,0.2505,9
M,0.62,0.49,medium,1.035,0.44,0.2525,0.285,11
F,0.47,0.365,small,0.5429999999999999,0.2295,0.1495,0.15,9
F,0.58,0.475,small,0.925,0.391,0.165,0.275,14
F,0.615,0.5,medium,1.327,0.6,0.3015,0.355,10
M,0.575,0.455,small,0.907,0.4245,0.19699999999999998,0.26,9
M,0.59,0.48,medium,1.262,0.5685,0.2725,0.335,9
I,0.535,0.415,medium,0.5765,0.3595,0.135,0.225,8
M,0.62,0.48,medium,1.266,0.6285,0.2575,0.309,12
I,0.335,0.255,tiny,0.168,0.079,0.0355,0.05,5
I,0.325,0.25,tiny,0.166,0.076,0.051,0.045,5
I,0.34,0.26,tiny,0.179,0.076,0.0525,0.055,6
F,0.505,0.405,medium,0.6835,0.271,0.145,0.215,10
M,0.66,0.505,large,1.6305,0.4865,0.297,0.61,18
F,0.57,0.46,small,0.9795,0.397,0.2525,0.2655,9
I,0.59,0.47,medium,0.9740000000000001,0.45299999999999996,0.23600000000000002,0.289,8
M,0.62,0.48,medium,1.0765,0.41200000000000003,0.253,0.3,13
M,0.5,0.38,small,0.5765,0.273,0.135,0.145,9
I,0.57,0.45,small,0.794,0.3815,0.1415,0.245,8
F,0.565,0.44,medium,0.9395,0.4275,0.214,0.27,12
I,0.455,0.355,tiny,,0.138,0.0765,0.135,9
M,0.575,0.46,medium,0.892,0.4415,0.17600000000000002,0.22,10
F,0.575,0.465,large,0.9965,0.41700000000000004,0.247,0.47,8
M,0.635,0.525,medium,1.195,0.5435,0.24600000000000002,0.335,12
F,0.57,0.425,small,0.782,0.3695,0.1745,0.1965,8
M,0.69,0.505,large,,0.893,0.4015,0.48,10
I,0.195,0.15,tiny,0.0375,0.018000000000000002,0.006,0.011000000000000001,3
M,0.67,0.525,large,1.4915,0.728,0.34299999999999997,0.381,9
I,0.365,0.27,tiny,,0.0815,0.0325,0.065,6
F,0.64,0.505,large,1.2765,0.4835,0.32799999999999996,0.4,12
I,0.52,0.38,small,0.525,0.1775,0.115,0.185,11
F,0.57,0.45,large,0.9555,0.38,0.1665,0.295,18
M,0.635,0.49,large,1.375,0.623,0.2705,0.395,11
M,0.62,0.49,medium,1.195,0.4605,0.302,0.355,9
I,0.4,0.3,tiny,0.2985,0.1375,0.071,0.075,6
M,0.575,0.455,medium,0.867,0.3765,0.1805,0.268,8
M,0.61,0.48,small,1.0625,0.516,0.225,0.2915,11
M,0.595,0.455,large,1.3305,0.4595,0.3235,0.345,19
I,0.32,0.255,tiny,0.1755,0.073,0.0415,0.065,7
F,0.62,0.51,large,1.2329999999999999,0.5920000000000001,0.27399999999999997,0.322,10
M,0.605,0.5,large,1.0979999999999999,0.4765,0.23199999999999998,0.375,12
I,0.47,0.355,large,,0.2055,0.105,0.1505,8
F,0.59,0.465,medium,1.151,0.613,0.239,0.2515,9
F,0.57,0.495,medium,1.0915,0.452,0.275,0.315,14
M,0.72,0.545,large,1.7475,0.8215,0.38299999999999995,0.4705,11
I,0.435,0.325,tiny,,0.136,0.065,0.115,8
M,0.355,0.265,tiny,0.168,0.05,0.040999999999999995,0.063,8
M,0.52,0.385,tiny,0.669,0.2385,0.172,0.205,12
I,0.47,0.355,small,0.499,0.21,0.0985,0.155,8
M,0.61,0.48,large,1.3065,0.6895,0.2915,0.29,10
I,0.325,0.2,tiny,0.0995,0.0395,0.0225,0.032,8
I,0.545,0.43,small,0.7595,0.358,0.153,0.2055,8
I,0.315,0.23,tiny,0.14400000000000002,0.053,0.0305,0.04,8
I,0.53,0.395,small,,0.2975,0.10800000000000001,0.195,11
I,0.33,0.255,tiny,,0.066,0.0255,0.06,6
M,0.67,0.5,large,,0.5760000000000001,0.2985,0.35100000000000003,11
I,0.51,0.455,small,0.6855,0.2875,0.154,0.2035,9
F,0.65,0.49,medium,1.122,0.545,0.228,0.3055,9
M,0.46,0.34,small,0.495,0.1655,0.11699999999999999,0.185,10
F,0.72,0.55,large,1.52,0.637,0.325,0.435,10
I,0.575,0.475,large,0.9670000000000001,0.3775,0.284,0.275,13
F,0.435,0.32,small,0.3785,0.152,0.0915,0.125,11
I,0.335,0.245,tiny,0.1665,0.0595,0.04,0.06,6
M,0.43,0.31,small,0.6485,0.2735,0.163,0.184,9
M,0.57,0.45,small,,0.3385,0.14800000000000002,0.245,9
F,0.535,0.415,large,0.879,0.295,0.1965,0.285,10
M,0.61,0.485,large,1.0225,0.419,0.2405,0.36,12
I,0.275,0.22,tiny,0.1365,0.0565,0.0285,0.042,6
F,0.7,0.585,large,1.8075,0.7055,0.3215,0.475,29
F,0.63,0.505,medium,1.065,0.4595,0.21600000000000003,0.315,12
M,0.595,0.475,medium,1.213,0.621,0.2435,0.27399999999999997,9
I,0.56,0.435,small,0.777,0.354,0.17300000000000001,0.222,9
F,0.58,0.455,small,0.94,0.39899999999999997,0.257,0.265,11
F,0.475,0.365,tiny,0.5660000000000001,0.281,0.11699999999999999,0.1335,7
I,0.375,0.265,tiny,0.196,0.085,0.042,0.0585,5
I,0.255,0.185,tiny,0.075,0.027999999999999997,0.018000000000000002,0.025,6
F,0.63,0.48,medium,1.199,0.5265,0.335,0.315,11
I,0.475,0.365,small,0.5465,0.22899999999999998,0.1185,0.172,9
M,0.34,0.275,tiny,0.2065,0.0725,0.043,0.07,10
F,0.69,0.54,large,1.5715,0.6935,0.318,0.47,15
M,0.29,0.23,tiny,,0.043,0.0255,0.04,7
I,0.54,0.43,large,,0.3725,0.1815,0.24,9
M,0.63,0.49,medium,1.2005,0.575,0.273,0.294,10
I,0.385,0.295,tiny,0.2535,0.10300000000000001,0.0575,0.085,7
I,0.39,0.295,tiny,0.203,0.0875,0.045,0.075,7
M,0.72,0.575,large,2.173,0.9515,0.564,0.5365,12
M,0.735,0.585,large,2.124,0.9520000000000001,0.55,0.5,11
M,0.64,0.485,medium,,0.5195,0.222,0.3175,10
M,0.52,0.4,small,0.5589999999999999,0.254,0.139,0.149,8
F,0.465,0.355,tiny,0.4705,0.1955,0.11800000000000001,0.126,7
F,0.475,0.4,tiny,0.541,0.18600000000000003,0.1025,0.21,13
I,0.375,0.27,tiny,0.218,0.0945,0.039,0.07,7
M,0.555,0.44,medium,0.85,0.4165,0.1685,0.23,8
I,0.425,0.32,tiny,0.3055,0.126,0.06,0.106,7
F,0.595,0.47,medium,1.121,0.4515,0.17800000000000002,0.155,11
M,0.64,0.51,large,1.368,0.515,0.266,0.57,21
M,0.645,0.53,large,,0.6465,0.2945,0.3735,10
F,0.595,0.47,medium,1.1775,0.542,0.26899999999999996,0.31,9
M,0.655,0.525,medium,1.46,0.6859999999999999,0.311,0.405,11
I,0.255,0.195,tiny,0.0735,0.0255,0.02,0.025,6
F,0.725,0.56,large,2.141,0.65,0.39799999999999996,1.005,18
M,0.715,0.55,large,1.825,0.938,0.3805,0.44,11
I,0.43,0.315,tiny,,0.1885,0.0715,0.11,8
M,0.74,0.605,large,2.4925,1.1455,0.575,0.5235,13
M,0.575,0.455,large,1.156,0.5525,0.243,0.295,13
I,0.41,0.325,tiny,0.39399999999999996,0.20800000000000002,0.0655,0.106,6
I,0.415,0.31,tiny,0.2815,0.1245,0.0615,0.085,6
M,0.505,0.395,small,0.635,0.29,0.1555,0.175,9
F,0.665,0.5,medium,1.2475,0.4625,0.2955,0.3595,10
I,0.565,0.43,medium,,0.332,0.1685,0.29,11
M,0.485,0.37,small,,0.2485,0.105,0.1555,6
I,0.385,0.29,tiny,0.312,0.14300000000000002,0.0635,0.086,6
M,0.575,0.47,small,0.8375,0.3485,0.1735,0.24,11
M,0.28,0.205,tiny,,0.0545,0.0285,0.03,5
M,0.27,0.195,tiny,0.1,0.0385,0.0195,0.03,6
M,0.57,0.44,medium,,0.4775,0.2315,0.27,13
I,0.62,0.485,large,1.1540000000000001,0.4935,0.256,0.315,12
M,0.465,0.36,small,0.4365,0.16899999999999998,0.1075,0.145,11
I,0.485,0.37,small,,0.2425,0.08800000000000001,0.1465,8
F,0.7,0.525,large,,0.7070000000000001,0.365,0.43,10
M,0.195,0.145,tiny,0.032,0.01,0.008,0.012,4
F,0.39,0.3,tiny,0.265,0.1075,0.06,0.0865,13
M,0.475,0.355,small,0.48,0.23399999999999999,0.1015,0.135,8
F,0.58,0.455,medium,0.8365,0.315,0.1385,0.32,18
F,0.48,0.405,small,0.6375,0.27699999999999997,0.1445,0.21,10
F,0.515,0.395,medium,0.7565,0.1905,0.17,0.3205,10
I,0.575,0.44,small,,0.4555,0.1715,0.1965,9
F,0.625,0.495,medium,1.1115,0.4495,0.2825,0.345,11
F,0.645,0.51,large,1.5675,0.621,0.36700000000000005,0.46,12
F,0.51,0.4,small,0.8145,0.45899999999999996,0.1965,0.195,10
M,0.63,0.505,large,1.525,0.56,0.3335,0.45,15
F,0.64,0.51,medium,,0.7595,0.332,0.321,8
F,0.63,0.5,large,1.383,0.54,0.3315,0.38,10
F,0.675,0.51,medium,1.1965,0.475,0.304,0.386,11
M,0.26,0.2,tiny,0.096,0.044000000000000004,0.027000000000000003,0.03,6
I,0.55,0.42,small,0.816,0.3995,0.1485,0.23,12
M,0.585,0.45,medium,0.997,0.4055,0.28300000000000003,0.251,11
I,0.385,0.29,tiny,,0.1,0.0505,0.076,8
M,0.625,0.49,large,1.169,0.5275,0.2535,0.344,11
M,0.595,0.475,small,1.0305,0.4925,0.217,0.278,10
F,0.515,0.425,small,0.7120000000000001,0.2665,0.1605,0.25,11
M,0.5,0.38,medium,0.66,0.2655,0.1365,0.215,19
I,0.415,0.33,tiny,0.3905,0.1925,0.0755,0.1025,7
M,0.61,0.47,medium,,0.449,0.2345,0.2945,9
I,0.485,0.375,small,0.562,0.2505,0.1345,0.1525,8
F,0.64,0.505,large,1.3185,0.6185,0.302,0.3315,9
F,0.62,0.515,medium,1.3255,0.6685,0.2605,0.335,12
F,0.615,0.52,medium,1.3435,0.629,0.2605,0.345,10
I,0.295,0.215,tiny,0.11599999999999999,0.037000000000000005,0.0295,0.04,8
F,0.67,0.53,large,1.5615,0.63,0.48700000000000004,0.3725,11
F,0.52,0.405,small,0.8175,0.2795,0.183,0.26,17
F,0.565,0.49,medium,0.9245,0.405,0.2195,0.255,11
F,0.59,0.455,medium,1.161,0.38,0.2455,0.28,12
I,0.595,0.43,medium,0.9845,0.4525,0.207,0.2725,8
F,0.6,0.46,medium,0.9735,0.42700000000000005,0.2045,0.3,8
I,0.355,0.27,tiny,0.2255,0.11,0.042,0.064,7
M,0.525,0.42,medium,0.8420000000000001,0.428,0.1415,0.2045,9
F,0.44,0.34,small,0.3975,0.1505,0.0945,0.135,8
M,0.49,0.465,small,0.5225,0.235,0.13,0.141,7
I,0.44,0.325,tiny,0.4165,0.185,0.0865,0.11,6
M,0.5,0.4,small,0.7715,0.37,0.16,0.21100000000000002,8
I,0.38,0.28,tiny,0.2735,0.115,0.061,0.085,6
F,0.545,0.44,medium,0.9475,0.366,0.239,0.275,8
F,0.6,0.475,medium,1.0075,0.4425,0.221,0.28,15
F,0.51,0.34,large,0.7005,0.312,0.165,0.2,11
M,0.63,0.51,large,1.3415,0.6575,0.262,0.375,10
F,0.695,0.55,medium,1.8495,0.767,0.442,0.4175,10
M,0.74,0.57,large,1.8725,0.9115,0.42700000000000005,0.446,10
M,0.475,0.37,tiny,0.4895,0.2185,0.107,0.146,8
M,0.7,0.525,large,1.7585,0.8745,0.3615,0.47,10
I,0.405,0.31,tiny,0.312,0.138,0.06,0.087,8
I,0.385,0.29,tiny,0.2575,0.1,0.061,0.086,6
F,0.605,0.48,large,1.1685,0.4815,0.2305,0.35600000000000004,9
I,0.36,0.25,tiny,0.465,0.21,0.1055,0.128,7
F,0.56,0.43,medium,0.898,0.3895,0.2325,0.245,9
F,0.635,0.5,large,1.3119999999999998,0.529,0.2485,0.485,18
I,0.575,0.45,medium,0.795,0.364,0.1505,0.26,10
F,0.75,0.565,large,1.9380000000000002,0.7735,0.4825,0.575,11
F,0.58,0.465,medium,0.9865,0.47,0.2155,0.25,11
F,0.58,0.44,large,0.8540000000000001,0.3665,0.1635,0.245,12
M,0.665,0.535,large,,0.7535,0.391,0.885,27
M,0.545,0.435,medium,0.9385,0.3685,0.1245,0.345,11
M,0.515,0.38,large,0.9565,0.325,0.158,0.31,14
M,0.465,0.35,small,0.5755,0.2015,0.1505,0.19,15
M,0.65,0.505,large,1.5595,0.695,0.3515,0.395,11
I,0.54,0.415,medium,0.7020000000000001,0.322,0.16699999999999998,0.19,10
M,0.445,0.35,small,0.5905,0.2025,0.158,0.19,14
I,0.45,0.335,tiny,0.36200000000000004,0.1575,0.0795,0.1095,7
I,0.495,0.375,small,0.589,0.3075,0.1215,0.1405,8
M,0.63,0.515,large,1.1955,0.49200000000000005,0.247,0.37,11
I,0.435,0.325,tiny,0.366,0.174,0.0725,0.109,7
M,0.535,0.435,medium,0.8915,0.3415,0.177,0.25,13
M,0.65,0.515,large,1.466,0.677,0.3045,0.4,10
M,0.65,0.495,medium,1.2075,0.55,0.2695,0.32,10
I,0.435,0.34,tiny,0.3925,0.1825,0.078,0.1145,6
F,0.635,0.51,large,1.286,0.526,0.295,0.4105,12
M,0.485,0.37,medium,0.968,0.419,0.2455,0.2365,9
I,0.48,0.35,small,0.5465,0.2735,0.0995,0.158,8
I,0.31,0.23,tiny,0.1245,0.0505,0.0265,0.038,6
M,0.655,0.525,large,1.2590000000000001,0.48700000000000004,0.2215,0.445,20
I,0.54,0.435,medium,,0.4285,0.22,0.264,17
F,0.67,0.53,large,1.4015,0.643,0.2465,0.41600000000000004,12
M,0.62,0.485,medium,1.1325,0.5235,0.2505,0.2825,9
M,0.65,0.525,large,1.4715,0.675,0.315,0.39899999999999997,11
I,0.375,0.285,tiny,0.239,0.105,0.0555,0.07,8
M,0.46,0.345,small,0.4935,0.2435,0.1175,0.132,8
M,0.545,0.45,medium,0.7805,0.3795,0.1625,0.21600000000000003,8
I,0.415,0.31,tiny,,0.12300000000000001,0.057,0.0995,10
F,0.49,0.38,medium,0.578,0.2395,0.1255,0.18,9
I,0.5,0.41,small,0.6615,0.2585,0.1625,0.196,9
I,0.495,0.39,small,,0.284,0.162,0.2,11
I,0.47,0.345,small,0.3685,0.1525,0.0615,0.125,8
I,0.25,0.19,tiny,0.0765,0.036000000000000004,0.0115,0.0245,6
M,0.56,0.41,medium,0.93,0.3505,0.237,0.3,13
I,0.6,0.475,medium,1.12,0.565,0.2465,0.27,10
M,0.51,0.395,medium,0.6185,0.21600000000000003,0.1385,0.24,12
F,0.595,0.465,small,1.113,0.5175,0.244,0.305,12
I,0.62,0.47,small,0.8565,0.3595,0.16,0.295,9
M,0.5,0.37,medium,1.0615,0.494,0.223,0.29600000000000004,9
F,0.58,0.44,large,1.073,0.4005,0.2345,0.335,19
F,0.48,0.38,medium,0.59,0.23199999999999998,0.141,0.23,12
F,0.68,0.505,large,1.3435,0.657,0.297,0.355,12
